id,title,content,thank_count,customer_id,rating,created_at,customer_name,purchased_at
,Cực kì hài lòng,"Đồ tốt , chính hảng , nhưng hơi mỏng , vừa tầm giá tiền cho gia đình bình dân . Đáng mua",0,22124425,5,1673926442,Hoang Do,1673746467
,Không hài lòng,"Trong lúc rửa nồi lần đầu để sử dụng thì bị đứt tay nên phát hiện tay cầm trên nắp của nồi lớn chưa được mài kỹ, có một đoạn răng cưa rất bén gây đứt tay chảy máu khi sử dụng. Cần tiki hỗ trợ đổi lại nắp nồi size 24cm giúp tôi",5,1440828,2,1622357276,Nguyễn Tâm,1621862907
,Cực kì hài lòng,"Sản phẩm giống như hình, nắp nồi lớn nhất bị móp vài chỗ, chắc do trong quá trình vận chuyển hàng, hàng chính hãng nên hoàn toàn an tâm về chất lượng, cho shop 5*.",3,7459708,5,1636770659,Phan Minh Trung,1635521520
,Bình thường,"giao hàng nhanh, nồi cũng tầm giá, mình chưa đun nên k biết có bị đen không.
điểm trừ: nắp nồi quá ẩu, nhận hàng về rời luôn cả cái núm, hở ngoác ra vậy thì bảo sao lại k rơi ra. 
TIki có đổi lại nắp cho t không???",2,1076651,3,1624758681,Minh Thu,1624636817
,Cực kì hài lòng,sản phẩm cầm chắc tay shop giao hàng nhanh đsong gói cẩn thận chưa sài nên chưa biết ntn  nồi dày dặn,0,27727270,5,1656894076,Nguyễn Ánh,1656045847
,Cực kì hài lòng,"Hình ảnh chỉ mang tính chất minh hoạ, có nhu cầu vay tiền liên hệ em ạ. Thanks",0,7681046,5,1687252473,Thanh Hiền,1687147866
,Hài lòng,"nồi nhỏ xinh.hàng đẹp trong tầm giá.mua được giá sale nên rất vui.mình chưa dùng thử nên không biết có bền không.
giao hàng rất nhanh chóng.shipper luôn nhiệt tình.sẽ ủng hộ shop nếu có nhu cầu",0,18546015,4,1633363752,Nguyễn Thị Thành,1632975716
,Hài lòng,Hàng được hợp với giá tiền. sẽ ủng hộ tiếp.,0,16615857,4,1652059413,Lê Thị Kim Hồng,1648964051
,Không hài lòng,Chat lượng inox kem rất mỏng.noi chung that vọng ve chat lượng,0,29226008,2,1689755952,Ella dang,1689491590
,Rất không hài lòng,hàng *** giờ đổi trả ntn đây m1 mang bực vào ng,0,29272466,1,1689652346,van dung,1689596208
,Cực kì hài lòng,"Đồ tốt , chính hảng , nhưng hơi mỏng , vừa tầm giá tiền cho gia đình bình dân . Đáng mua",0,22124425,5,1673926442,Hoang Do,1673746467
,Không hài lòng,"Trong lúc rửa nồi lần đầu để sử dụng thì bị đứt tay nên phát hiện tay cầm trên nắp của nồi lớn chưa được mài kỹ, có một đoạn răng cưa rất bén gây đứt tay chảy máu khi sử dụng. Cần tiki hỗ trợ đổi lại nắp nồi size 24cm giúp tôi",5,1440828,2,1622357276,Nguyễn Tâm,1621862907
,Cực kì hài lòng,"Sản phẩm giống như hình, nắp nồi lớn nhất bị móp vài chỗ, chắc do trong quá trình vận chuyển hàng, hàng chính hãng nên hoàn toàn an tâm về chất lượng, cho shop 5*.",3,7459708,5,1636770659,Phan Minh Trung,1635521520
,Bình thường,"giao hàng nhanh, nồi cũng tầm giá, mình chưa đun nên k biết có bị đen không.
điểm trừ: nắp nồi quá ẩu, nhận hàng về rời luôn cả cái núm, hở ngoác ra vậy thì bảo sao lại k rơi ra. 
TIki có đổi lại nắp cho t không???",2,1076651,3,1624758681,Minh Thu,1624636817
